OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,Median Age
45,45,28,055,HIGHLANDS,Highlands,FL,5640,111,181,399,696,594,699,859,892,764,425,20,0 to 119,56,3278,2326,36,5571,69,0,226,4159,47,1594,62,1823,3806,0,11,5560,1627,189,7,0,970,845,1,1816,34,79,197,300,244,276,275,186,155,77,0,0 to 99,47,1071,271,283,191,508,1037,271,376,2,196,1,0,67,1823,850,972,1816,7,0,16598,62,18493,16660,1823,67,1728,1614,2866885704.30579,296636.719911829,0861b99e-575f-41b4-992b-839b0b3f4f63,2,109,111,0.018018018018018,47
46,46,36,071,LEE,Lee,FL,42679,624,1047,4402,5975,5869,6256,6623,6084,3872,1823,104,0 to 119,50,23834,18609,236,41510,1168,1,2033,34088,613,12716,306,18673,23966,2,38,41471,17489,884,291,9,9634,8619,120,18373,337,663,2850,3348,2994,2960,2405,1543,919,607,47,0 to 103,42,8168,1847,966,7392,4260,6315,7798,2427,23,1371,19,9,423,18673,8776,9772,18372,300,1,109937,917,129607,110854,18673,423,4806,3205,2112333669.17714,583283.842331616,d113537a-ba7a-4d3b-936c-ea742824206c,38,644,682,0.0557184750733138,42
47,47,11,021,COLLIER,Collier,FL,25469,617,1109,2964,3297,3498,3610,3614,3376,2480,895,9,0 to 105,48,13514,11881,74,25086,383,0,1868,17331,356,8605,254,11609,13829,3,28,25055,11071,434,88,16,5848,5610,47,11505,314,597,1909,1871,1949,1849,1433,839,555,291,2,0 to 104,40,5765,716,1322,3702,4699,3015,3791,1353,25,841,15,7,176,11609,5671,5891,11505,104,0,58348,282,70313,58630,11609,176,6799,5801,5197102107.68439,580181.883282756,b407dcd0-fa26-4ba4-bfdb-b31c63c940ba,7,316,323,0.021671826625387,40
48,48,13,025,DADE,Dade,FL,292840,4230,8019,30433,49853,47563,52886,45854,28504,15896,8578,1024,0 to 225,46,151428,139406,2006,290674,2165,1,15582,236624,2785,39612,1259,156910,135365,93,472,290112,153892,1806,1192,20,78821,75928,949,155698,2402,5624,20235,28798,26102,28257,22064,12270,6933,3789,436,0 to 108,43,60851,13801,18728,62318,71011,19575,65112,14141,95,7212,39,18,2437,156910,76558,79345,155697,1212,1,651161,970,811036,652131,156910,2437,18176,17441,5114451079.58835,540836.793924443,aea3ae00-e34e-48c0-8b01-466a26b4b1e0,349,4990,5339,0.0653680464506462,43
49,49,44,087,MONROE,Monroe,FL,6042,131,177,529,894,884,1036,1131,784,357,117,2,0 to 101,49,3095,2914,33,5944,98,0,1638,2518,83,2254,163,1734,4250,0,58,5888,1664,41,24,5,818,884,3,1705,43,71,212,333,302,315,226,143,67,22,0,0 to 100,42,1225,141,78,261,661,752,292,265,5,107,4,0,16,1734,901,830,1705,29,0,14312,66,16124,14378,1734,16,3026,2750,2629619857.16548,1399292.97354894,629deeae-bcfa-4ad2-8de1-1d764edd7ac6,8,84,92,0.0869565217391304,42
50,50,57,113,SANTA ROSA,Santa Rosa,FL,11876,321,525,1438,1731,1759,1850,1845,1375,712,308,12,0 to 119,45,6046,5793,37,11777,99,0,719,7169,99,3886,235,4671,7179,1,25,11751,4533,96,42,0,2021,2601,7,4629,64,161,832,816,756,751,660,338,191,101,1,0 to 105,40,2921,554,269,885,193,3415,1021,212,1,266,2,1,55,4671,2616,2048,4629,42,0,27720,56,32487,27776,4671,55,4078,3534,2596863920.94926,364280.718031263,edf59bbc-47af-4b2f-bd97-6dab59dd7b4c,15,62,77,0.194805194805195,40
51,51,66,131,WALTON,Walton,FL,3359,78,124,466,449,482,505,541,360,206,143,5,0 to 101,46,1757,1564,38,3172,187,0,210,2497,15,1617,183,1638,1721,0,0,3172,1474,28,133,3,736,763,3,1502,25,67,347,260,264,245,234,111,65,18,2,0 to 101,40,1141,93,69,199,290,1028,184,219,20,84,4,0,20,1638,827,808,1502,136,0,9495,52,11221,9547,1638,20,929,874,2708101782.46999,370154.781284707,31ca379b-fb64-4c77-9456-056bcf505a65,2,74,76,0.0263157894736842,40
52,52,32,063,JACKSON,Jackson,FL,5219,66,130,484,962,922,888,772,474,315,204,2,0 to 105,45,2125,3036,58,5185,34,0,57,3030,19,2202,46,2336,2875,0,8,5177,2252,65,18,1,732,1580,5,2317,25,61,219,491,459,403,321,173,109,75,0,0 to 100,43,1001,433,114,769,93,1011,1213,167,2,114,0,0,66,2336,1589,742,2317,19,0,12739,16,15104,12755,2336,66,1400,1202,2452499072.79567,223828.324060307,baf89079-8026-4e6b-b424-2dd9bc8af99d,0,17,17,0,43
53,53,67,133,WASHINGTON,Washington,FL,1974,38,63,182,312,311,336,346,194,133,59,0,0 to 119,47,948,992,34,1960,14,0,54,1269,9,1097,17,1006,957,0,11,1949,892,103,9,2,344,635,16,995,12,31,100,208,187,183,148,75,50,12,0,0 to 99,42,562,231,34,168,27,601,367,63,3,52,2,0,16,1006,639,351,995,11,0,5627,4,6658,5631,1006,16,652,596,1594396648.51196,243766.072259733,ed919630-6db9-4e1b-b6b4-eafa4d161468,0,10,10,0,42
54,54,45,089,NASSAU,Nassau,FL,5128,74,138,560,586,629,741,898,771,475,206,50,0 to 103,52,2834,2221,73,4924,204,0,279,3440,28,1131,187,1704,3388,0,36,4889,1545,54,103,2,833,763,3,1599,20,53,293,220,231,260,246,165,112,59,45,0 to 103,45,1067,154,72,306,70,1157,372,226,8,113,2,0,19,1704,806,895,1599,105,0,16288,98,18111,16386,1704,19,1696,1690,1641620662.32831,388721.737801268,4d22d524-13f7-4497-919b-bc6894006209,46,538,584,0.0787671232876712,45
