County,State,PUIsTotal,PUIAge_0_4,PUIAge_5_14,PUIAge_15_24,PUIAge_25_34,PUIAge_35_44,PUIAge_45_54,PUIAge_55_64,PUIAge_65_74,PUIAge_75_84,PUIAge_85plus,PUIAge_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,PUI_TPositive,PUI_TNegative,PUI_TInconc,PUI_TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,Date,Region
'Holmes','FL','1307','23','42','133','197','190','219','203','185','83','31','1','0 to 119','48','652','641','14','1287','20','0','36','824','5','411','50','476','827','0','4','1283','402','63','8','3','172','292','1','465','9','14','66','102','90','83','51','38','16','7','0','0 to 96','39','315','80','36','34','22','370','73','29','0','14','0','0','2','476','297','178','465','11','0','3661','9','4153','3670','476','2','08/06/2020','Rest of Florida'
'Martin','FL','10032','204','333','947','1174','1255','1325','1641','1541','1098','491','23','0 to 100','53','5027','4601','404','9928','104','0','850','6851','82','3255','110','3712','6270','1','49','9879','3668','20','24','0','1773','1895','20','3688','103','203','590','640','611','566','408','247','196','145','3','0 to 100','39','1651','214','1011','812','1760','1337','591','581','4','333','3','1','87','3712','1909','1783','3688','24','0','21256','77','25083','21333','3712','87','08/06/2020','Rest of Florida'
'Hillsborough','FL','81327','1896','2876','9324','13889','12267','12519','12205','8851','4728','2219','553','0 to 119','45','45350','35469','508','80856','471','0','3831','69097','458','10012','475','31563','49555','22','187','80647','30892','540','126','5','16667','14527','238','31432','681','1432','5337','6734','5080','4743','3558','1903','1064','590','441','0 to 104','37','10485','4042','4095','12810','7633','9084','14715','2501','18','1352','13','5','378','31563','14585','16740','31432','131','0','204091','350','236482','204441','31563','378','08/06/2020','Tampa Bay Region'
'Manatee','FL','23213','448','854','2200','2822','2824','3141','3851','3789','2310','861','113','0 to 119','52','12860','9973','380','22884','329','0','2094','18756','177','4922','77','9050','14152','3','8','22873','8883','73','94','0','4648','4157','151','8956','207','571','1449','1605','1448','1327','1113','683','427','210','10','0 to 101','39','3874','818','1108','3156','2179','2939','3838','460','7','589','6','2','189','9050','4201','4695','8956','94','0','73703','267','83083','73970','9050','189','08/06/2020','Rest of Florida'
'Clay','FL','11206','168','345','1153','1403','1616','1872','1857','1524','883','362','23','0 to 101','49','6351','4705','150','11180','26','0','769','8550','130','2051','120','3110','8082','1','13','11166','2980','122','8','0','1705','1387','10','3102','30','100','504','474','491','533','424','282','178','94','0','0 to 100','44','1556','525','250','771','294','1964','844','457','0','206','0','0','50','3110','1391','1709','3102','8','0','30578','18','33723','30596','3110','50','08/06/2020','Rest of Florida'
'Hardee','FL','1933','66','179','322','359','249','254','222','169','81','32','0','0 to 95','36','1024','883','26','1924','9','0','72','722','2','1125','23','890','1042','1','0','1923','614','269','6','1','439','439','5','883','25','85','173','183','125','121','85','60','25','8','0','0 to 93','33','646','81','109','47','589','246','48','130','3','77','3','1','7','890','444','441','883','7','0','3909','2','4810','3911','890','7','08/06/2020','Rest of Florida'
'Marion','FL','23573','312','576','2006','3170','3165','3417','3767','3775','2410','935','40','0 to 168','52','14496','9002','75','23536','37','0','5645','13052','177','7594','244','5707','17510','1','355','23182','5540','153','13','1','3580','2080','33','5693','74','165','721','1140','1134','901','727','452','271','107','15','0 to 104','41','3347','1095','452','799','725','3741','1227','761','4','469','0','0','83','5707','2082','3592','5693','14','0','42672','23','48485','42695','5707','83','08/06/2020','Rest of Florida'
'Volusia','FL','27343','316','592','2194','3290','3189','3963','5210','4593','2505','1201','290','0 to 119','54','15247','11502','594','27205','138','0','1589','22590','230','5165','293','7488','19790','0','65','27141','6686','747','49','6','3938','3456','39','7433','102','261','1164','1350','1061','1111','1057','709','411','245','17','0 to 103','43','3353','968','1463','1649','1251','4050','2132','924','7','555','5','0','124','7488','3485','3964','7433','55','0','63838','85','71496','63923','7488','124','08/06/2020','Rest of Florida'
'Dixie','FL','1183','26','55','113','152','206','151','187','161','88','43','1','0 to 118','47','651','522','10','1183','0','0','54','808','6','333','8','375','808','0','0','1183','337','38','0','0','172','202','1','375','1','19','41','66','68','51','57','42','24','6','0','3 to 91','43','237','28','6','104','5','256','114','43','0','30','0','0','4','375','202','172','375','0','0','2350','0','2727','2350','375','4','08/06/2020','Rest of Florida'
'Lake','FL','19911','327','459','1550','2218','2214','2612','3119','3241','2220','749','1202','0 to 103','54','10580','8406','925','19761','150','0','408','17912','222','1284','117','4840','15017','0','54','19709','4745','66','29','0','2497','2224','90','4811','87','189','761','877','766','740','652','425','245','89','9','0 to 103','41','1400','566','830','2015','647','1794','2370','414','13','262','5','1','60','4840','2239','2510','4811','29','0','57265','124','62309','57389','4840','60','08/06/2020','Rest of Florida'
