'OBJECTID', 'OBJECTID_12_13', 'DEPCODE', 'COUNTY', 'COUNTYNAME', 'County', 'State', 'PUIsTotal*', 'PUIAge_0_4*', 'PUIAge_5_14*', 'PUIAge_15_24*', 'PUIAge_25_34*', 'PUIAge_35_44*', 'PUIAge_45_54*', 'PUIAge_55_64*', 'PUIAge_65_74*', 'PUIAge_75_84*', 'PUIAge_85plus*', 'PUIAge_Unkn*', 'PUIAgeRange*', 'PUIAgeMedian*', 'PUIFemale*', 'PUIMale*', 'PUISexUnkn*', 'PUIFLRes*', 'PUINotFLRes*', 'PUIFLResOut*', 'PUIContNo*', 'PUIContUnkn*', 'PUIAgeAvrg*', 'PUITravelNo*', 'PUITravelYes*', 'PUI_TPositive*', 'PUI_TNegative*', 'PUI_TInconc*', 'PUI_TPending*', 'T_Total_Res', 'T_LabPrivate_Res', 'T_LabDOH_Res', 'T_LabPrivate_NonRes', 'T_LabDOH_NonRes', 'C_Female', 'C_Male', 'C_SexUnkn', 'C_AllResTypes', 'C_Age_0_4', 'C_Age_5_14', 'C_Age_15_24', 'C_Age_25_34', 'C_Age_35_44', 'C_Age_45_54', 'C_Age_55_64', 'C_Age_65_74', 'C_Age_75_84', 'C_Age_85plus', 'C_Age_Unkn', 'C_AgeRange', 'C_AgeMedian', 'C_RaceWhite', 'C_RaceBlack', 'C_RaceOther', 'C_RaceUnknown', 'C_HispanicYES', 'C_HispanicNO', 'C_HispanicUnk', 'C_EDYes_Res', 'C_EDYes_NonRes', 'C_HospYes_Res', 'C_HospYes_NonRes', 'C_NonResDeaths', 'C_FLResDeaths', 'CasesAll', 'C_Men', 'C_Women', 'C_FLRes', 'C_NotFLRes', 'C_FLResOut', 'T_NegRes', 'T_NegNotFLRes', 'T_total', 'T_negative', 'T_positive', 'Deaths', 'PUI_EverMon*', 'PUI_MonNow*', 'Shape__Area', 'Shape__Length', 'MedianAge', 'Date'
"40","40","4","007","BRADFORD","Bradford","FL","1465","18","25","116","185","168","221","288","189","146","103","6","0 to 118","54","919","521","25","1463","2","0","28","1395","34","144","1","52","1412","0","1","1462","13","39","0","0","41","11","0","52","0","2","3","3","7","5","3","6","12","11","0","8 to 107","70","46","5","1","0","0","52","0","4","0","11","0","0","2","52","11","41","52","0","0","1903","2","1958","1905","52","2","112","80","776744615.959412","167178.838252791","74","06/11/2020"
"41","41","65","129","WAKULLA","Wakulla","FL","1251","13","29","86","137","168","213","246","212","107","39","1","0 to 102","53","706","534","11","1247","4","0","12","1192","13","188","4","35","1215","0","1","1246","17","16","2","0","23","10","0","33","0","0","5","5","5","10","5","3","1","1","0","18 to 86","46","17","13","3","0","0","33","0","6","0","5","0","0","1","35","10","25","33","2","0","1699","2","1736","1701","35","1","94","27","1579533632.64177","279225.038340218","43","06/11/2020"
"42","42","5","009","BREVARD","Brevard","FL","19297","254","336","1037","1806","2057","2680","4390","3931","2100","556","150","0 to 119","58","10992","8203","102","19280","17","0","157","18875","107","457","78","506","18789","0","2","19278","443","52","9","2","268","227","0","495","7","15","56","61","67","75","100","60","37","28","0","0 to 99","51","372","63","29","31","107","353","35","125","2","74","2","0","13","506","230","276","495","11","0","27629","6","28143","27635","506","13","320","262","2687643838.87906","793218.333609179","53","06/11/2020"
"43","43","53","105","POLK","Polk","FL","18426","431","463","1290","2258","2342","2656","3021","2953","1886","787","339","0 to 119","53","10704","7534","188","18334","92","0","338","16948","231","1277","133","1325","17090","1","10","18323","1151","161","12","1","790","521","1","1312","13","32","118","171","199","193","185","163","144","107","0","0 to 103","51","835","243","158","76","387","807","118","477","8","360","3","0","73","1325","526","798","1312","13","0","28164","79","29577","28243","1325","73","917","393","5206715917.89822","388118.956177661","56","06/11/2020"
"44","44","49","097","OSCEOLA","Osceola","FL","13271","168","344","887","1775","1901","2206","2312","1765","879","321","713","0 to 155","50","7443","5758","70","13194","77","0","401","12083","390","808","203","785","12439","2","45","13148","701","35","47","2","366","370","0","736","9","18","57","133","120","149","134","89","58","17","1","0 to 102","48","368","67","292","9","455","244","37","253","7","158","7","2","21","785","406","379","736","49","0","16550","27","17377","16577","785","21","588","83","3899316052.50861","350452.549474464","50","06/11/2020"
"45","45","28","055","HIGHLANDS","Highlands","FL","3707","52","56","167","375","327","430","595","706","623","356","20","0 to 119","62","2253","1417","37","3642","65","0","51","3535","47","142","19","160","3543","0","4","3638","133","25","2","0","82","76","0","158","1","9","10","19","21","25","36","17","19","3","0","0 to 91","54","92","35","25","6","55","88","15","52","1","43","1","0","9","160","78","82","158","2","0","5164","63","5390","5227","160","9","181","72","2866885704.30579","296636.719911829","56","06/11/2020"
"46","46","36","071","LEE","Lee","FL","25830","289","364","1635","2869","3118","3644","4489","4746","3177","1438","61","0 to 119","57","14949","10656","225","24888","941","1","501","23289","613","2199","167","2500","23306","1","23","24865","2286","146","63","5","1316","1115","1","2432","29","52","201","331","372","410","379","293","222","211","0","0 to 101","51","1506","400","63","463","706","1236","490","711","15","470","13","4","128","2500","1153","1346","2431","68","1","34153","873","37536","35026","2500","128","2198","619","2112333669.17714","583283.842331616","54","06/11/2020"
"47","47","11","021","COLLIER","Collier","FL","15270","309","527","1194","1652","1834","1989","2341","2671","2062","678","13","0 to 105","55","8273","6944","53","14914","356","0","355","13167","356","1934","161","2291","12942","3","34","14877","1943","272","60","16","1076","1130","9","2215","57","130","292","333","398","341","295","203","162","80","0","0 to 101","43","1320","117","207","571","1189","548","478","367","20","253","11","6","59","2291","1174","1108","2215","76","0","19818","280","22397","20098","2291","59","2183","1188","5197102107.68439","580181.883282756","57","06/11/2020"
"48","48","13","025","DADE","Dade","FL","158078","1662","2385","11801","24854","25016","28785","27319","18668","10676","6306","606","0 to 225","49","82884","73977","1217","156963","1114","1","3642","143916","2785","14765","956","20548","137308","105","117","156743","19511","809","219","9","10174","10139","7","20320","144","286","1720","3392","3230","3795","3288","2197","1403","1084","9","0 to 108","48","11240","3251","1033","4796","11105","4376","4839","5404","45","3332","31","15","798","20548","10283","10256","20319","228","1","197464","885","219104","198349","20548","798","2907","2167","5114451079.58835","540836.793924443","49","06/11/2020"
"49","49","44","087","MONROE","Monroe","FL","3157","24","45","180","355","428","540","699","524","262","98","2","0 to 101","55","1676","1473","8","3094","63","0","1020","1834","83","691","107","120","3001","0","36","3059","90","19","7","4","51","58","0","109","0","4","8","13","16","18","22","17","14","8","0","6 to 91","55","81","5","1","22","25","58","26","15","3","10","2","0","4","120","64","56","109","11","0","3796","51","3967","3847","120","4","351","73","2629619857.16548","1399292.97354894","49","06/11/2020"
