'OBJECTID', 'OBJECTID_12_13', 'DEPCODE', 'COUNTY', 'COUNTYNAME', 'County', 'State', 'PUIsTotal*', 'PUIAge_0_4*', 'PUIAge_5_14*', 'PUIAge_15_24*', 'PUIAge_25_34*', 'PUIAge_35_44*', 'PUIAge_45_54*', 'PUIAge_55_64*', 'PUIAge_65_74*', 'PUIAge_75_84*', 'PUIAge_85plus*', 'PUIAge_Unkn*', 'PUIAgeRange*', 'PUIAgeMedian*', 'PUIFemale*', 'PUIMale*', 'PUISexUnkn*', 'PUIFLRes*', 'PUINotFLRes*', 'PUIFLResOut*', 'PUIContNo*', 'PUIContUnkn*', 'PUIAgeAvrg*', 'PUITravelNo*', 'PUITravelYes*', 'PUI_TPositive*', 'PUI_TNegative*', 'PUI_TInconc*', 'PUI_TPending*', 'T_Total_Res', 'T_LabPrivate_Res', 'T_LabDOH_Res', 'T_LabPrivate_NonRes', 'T_LabDOH_NonRes', 'C_Female', 'C_Male', 'C_SexUnkn', 'C_AllResTypes', 'C_Age_0_4', 'C_Age_5_14', 'C_Age_15_24', 'C_Age_25_34', 'C_Age_35_44', 'C_Age_45_54', 'C_Age_55_64', 'C_Age_65_74', 'C_Age_75_84', 'C_Age_85plus', 'C_Age_Unkn', 'C_AgeRange', 'C_AgeMedian', 'C_RaceWhite', 'C_RaceBlack', 'C_RaceOther', 'C_RaceUnknown', 'C_HispanicYES', 'C_HispanicNO', 'C_HispanicUnk', 'C_EDYes_Res', 'C_EDYes_NonRes', 'C_HospYes_Res', 'C_HospYes_NonRes', 'C_NonResDeaths', 'C_FLResDeaths', 'CasesAll', 'C_Men', 'C_Women', 'C_FLRes', 'C_NotFLRes', 'C_FLResOut', 'T_NegRes', 'T_NegNotFLRes', 'T_total', 'T_negative', 'T_positive', 'Deaths', 'PUI_EverMon*', 'PUI_MonNow*', 'Shape__Area', 'Shape__Length', 'MedianAge', 'Date'
"21","21","41","081","MANATEE","Manatee","FL","16990","296","414","1139","1724","1841","2208","3090","3344","2063","768","103","0 to 119","57","9619","7085","286","16736","254","0","911","15107","177","1886","48","2810","14175","4","1","16731","2732","60","18","0","1456","1331","5","2792","61","150","392","492","461","393","342","232","176","111","0","0 to 101","41","1474","271","259","788","849","1056","887","186","3","262","3","2","130","2810","1340","1465","2792","18","0","36547","236","39610","36783","2810","130","368","270","1945653927.12581","371198.171414394","45","41","06/29/2020"
"22","22","10","019","CLAY","Clay","FL","8491","121","212","670","997","1186","1396","1498","1319","761","310","21","0 to 101","52","4900","3490","101","8470","21","0","164","7890","130","617","56","682","7803","1","5","8464","613","66","3","0","382","297","0","679","1","14","81","98","95","114","99","88","55","37","0","0 to 100","50","338","130","62","149","62","448","169","154","0","102","0","0","34","682","298","384","679","3","0","16227","18","16933","16245","682","34","420","387","1667659896.51059","183856.484298748","55","50","06/29/2020"
"23","23","25","049","HARDEE","Hardee","FL","1223","36","91","168","229","161","152","157","134","69","26","0","0 to 94","40","677","531","15","1216","7","0","68","659","2","484","8","426","797","0","0","1216","406","15","5","0","216","205","0","421","13","41","66","94","69","53","36","35","14","5","0","0 to 86","34","300","58","41","22","289","112","20","65","3","37","3","1","3","426","208","218","421","5","0","2025","2","2455","2027","426","3","691","592","1653184151.65315","165534.73009074","35","34","06/29/2020"
"24","24","42","083","MARION","Marion","FL","15387","170","228","1020","1777","1763","2207","2623","2875","1913","784","27","0 to 168","56","9414","5924","49","15359","28","0","4342","10334","177","3479","148","655","14421","0","311","15049","625","24","5","1","355","293","1","649","12","18","103","132","103","92","91","58","35","11","0","0 to 97","40","417","107","39","86","110","448","91","108","3","66","0","0","10","655","295","359","649","6","0","22793","21","23474","22814","655","10","756","591","4305055841.62241","350920.190673371","45","40","06/29/2020"
"25","25","64","127","VOLUSIA","Volusia","FL","21451","181","321","1302","2280","2346","3075","4372","4041","2195","1049","289","0 to 119","57","12003","8776","672","21352","99","0","409","20033","230","1327","145","2024","19425","0","2","21350","1856","151","16","1","1036","966","5","2007","15","44","343","372","272","292","283","214","101","84","4","0 to 102","43","919","304","372","412","238","1173","596","324","6","211","5","0","56","2024","975","1044","2007","17","0","37474","82","39609","37556","2024","56","1305","691","3125661534.15881","560414.737839251","49","43","06/29/2020"
"26","26","15","029","DIXIE","Dixie","FL","812","21","27","65","90","133","107","138","121","69","40","1","0 to 118","52","480","315","17","812","0","0","11","698","6","81","1","65","747","0","0","812","49","16","0","0","31","34","0","65","0","3","12","4","11","11","11","4","6","3","0","6 to 91","48","50","14","0","1","0","63","2","14","0","10","0","0","4","65","34","31","65","0","0","1306","0","1371","1306","65","4","129","74","1823798262.39212","235232.973119088","48","48","06/29/2020"
"27","27","35","069","LAKE","Lake","FL","16046","237","263","959","1544","1607","1996","2590","2887","2044","671","1248","0 to 103","58","8419","6594","1033","15907","139","0","199","15140","222","717","102","1252","14767","0","27","15882","1219","16","17","0","605","624","6","1235","20","29","212","232","185","186","168","112","84","22","2","0 to 103","41","497","152","218","368","190","618","427","179","12","106","5","1","22","1252","634","612","1235","17","0","31401","120","32793","31521","1252","22","801","509","2995995460.71371","331014.242454318","44","41","06/29/2020"
"28","28","38","075","LEVY","Levy","FL","1777","26","31","177","231","195","237","343","269","189","78","1","0 to 118","54","1030","731","16","1773","4","0","27","1472","16","338","7","173","1604","0","0","1773","149","21","3","0","61","109","0","170","1","3","37","41","29","18","22","13","6","3","0","3 to 99","36","71","9","85","5","92","72","6","16","0","12","0","0","1","173","111","62","170","3","0","3032","1","3208","3033","173","1","297","247","2900663690.96646","339394.964008615","35","35","06/29/2020"
"29","29","60","119","SUMTER","Sumter","FL","3915","28","28","98","179","190","299","523","1441","911","132","86","0 to 119","69","1929","1797","189","3839","76","0","128","3515","164","318","60","334","3558","0","23","3816","282","49","2","1","107","224","0","331","1","3","15","14","40","45","45","107","55","9","0","4 to 92","65","254","40","10","27","24","276","31","72","0","48","0","0","17","334","226","108","331","3","0","7047","73","7460","7120","334","17","104","92","1502516062.89801","229328.389599522","65","65","06/29/2020"
"30","30","59","117","SEMINOLE","Seminole","FL","18436","239","421","1833","2524","2480","2817","2963","2553","1206","530","870","0 to 119","49","10421","7888","127","18394","42","0","319","17376","246","841","101","2477","15942","1","16","18378","2409","57","11","0","1299","1165","2","2466","32","50","657","581","348","334","208","142","71","53","1","0 to 100","32","1169","222","214","861","376","810","1280","269","5","162","1","0","16","2477","1169","1306","2466","11","0","33456","30","35993","33486","2477","16","913","670","893350621.597626","158549.770327082","33","32","06/29/2020"
"31","31","48","095","ORANGE","Orange","FL","69411","1187","1577","6646","10906","10323","10790","10739","7599","3602","1364","4678","0 to 120","46","37780","31277","354","68263","1147","1","876","66483","585","2479","419","10014","59334","0","63","68202","9723","104","182","5","4642","5134","51","9827","140","226","2347","2739","1644","1335","903","407","202","66","5","0 to 103","32","2496","1258","1726","4347","1523","2150","6154","861","47","440","37","5","56","10014","5242","4719","9826","187","1","122892","959","134010","123851","10014","56","1533","1306","2601855780.29929","275135.911496092","35","32","06/29/2020"
"32","32","9","017","CITRUS","Citrus","FL","4164","38","76","222","395","373","501","768","938","646","199","8","0 to 222","61","2315","1658","191","4157","7","0","89","3617","119","358","28","284","3877","1","2","4155","196","88","0","0","138","146","0","284","2","5","34","33","25","47","63","41","22","12","0","0 to 97","54","222","14","15","33","26","221","37","37","0","38","0","0","13","284","146","138","284","0","0","9511","6","9804","9517","284","13","1078","623","1565249379.23035","242867.273750112","57","53","06/29/2020"
"33","33","27","053","HERNANDO","Hernando","FL","4086","68","68","335","536","489","596","723","586","423","258","4","0 to 102","54","2456","1609","21","4065","21","0","95","3642","66","312","48","361","3725","0","0","4065","284","70","6","1","175","179","0","354","4","10","60","72","53","55","52","35","15","5","0","0 to 92","40","233","31","17","73","49","174","131","68","2","32","2","1","5","361","181","180","354","7","0","9632","14","10008","9646","361","5","563","512","1259956856.20596","200494.167365377","46","40","06/29/2020"
"34","34","52","103","PINELLAS","Pinellas","FL","41301","416","603","2993","5346","4783","5914","7675","6958","4218","2302","93","0 to 120","55","23836","17355","110","40956","345","0","2462","36403","411","5531","394","6260","34968","1","72","40883","6042","145","66","7","3411","2758","18","6187","85","211","1059","1422","808","823","702","501","352","287","10","0 to 104","38","2582","1242","279","2084","420","3299","2468","772","19","641","17","2","154","6260","2803","3439","6187","73","0","85089","272","91649","85361","6260","154","664","572","758940582.722305","356104.408630079","41","39","06/29/2020"
"35","35","61","121","SUWANNEE","Suwannee","FL","2365","66","65","203","319","285","281","373","312","239","212","10","0 to 118","53","1489","804","72","2350","15","0","64","1931","110","652","20","439","1926","0","0","2350","312","112","12","3","259","165","0","424","12","24","59","69","69","60","52","36","34","24","0","0 to 102","43","218","60","87","59","153","210","61","61","1","57","0","0","20","439","171","268","424","15","0","3497","0","3940","3497","439","20","66","62","1792465815.52835","223150.095858967","47","43","06/29/2020"
"36","36","16","031","DUVAL","Duval","FL","52023","828","1124","5077","8807","7652","7889","9005","6547","3315","1656","123","-6 to 119","48","28511","22772","740","51390","633","0","872","48558","454","2760","221","5839","46125","10","49","51331","5454","280","94","11","2866","2853","15","5734","73","158","1080","1605","1000","738","612","345","144","81","3","0 to 101","34","1760","1503","581","1890","619","3010","2105","533","22","347","11","3","64","5839","2910","2912","5734","105","0","94979","528","101456","95507","5839","64","2478","2361","2136692125.83844","339628.979868484","39","35","06/29/2020"
"37","37","34","067","LAFAYETTE","Lafayette","FL","364","6","1","44","45","40","37","40","50","56","44","1","0 to 119","57","230","127","7","364","0","0","12","331","0","23","1","31","333","0","0","364","25","6","0","0","15","16","0","31","1","1","4","7","2","5","4","4","1","2","0","3 to 98","46","23","5","0","3","4","23","4","5","0","3","0","0","0","31","16","15","31","0","0","508","0","540","508","31","0","18","18","1417838543.00769","193229.836834708","46","41","06/29/2020"
"38","38","23","045","GULF","Gulf","FL","626","11","15","39","57","65","105","128","122","65","19","0","0 to 94","56","367","256","3","569","57","0","19","583","1","65","13","22","604","0","0","569","16","3","3","0","10","9","0","19","0","1","3","2","2","6","5","3","0","0","0","9 to 70","48","12","4","2","1","2","16","1","6","1","1","1","0","0","22","11","11","19","3","0","1365","54","1441","1419","22","0","54","51","1469866107.27026","258929.917930346","48","48","06/29/2020"
"39","39","63","125","UNION","Union","FL","1193","11","20","62","80","111","139","405","278","73","14","0","0 to 118","59","328","859","6","1193","0","0","20","1132","4","94","4","61","1131","0","1","1192","57","4","0","0","13","48","0","61","0","3","8","8","2","4","22","12","2","0","0","9 to 80","56","38","20","2","1","3","56","2","10","0","10","0","0","2","61","48","13","61","0","0","2215","0","2276","2215","61","2","89","87","646977045.561768","128178.538552252","61","56","06/29/2020"
"40","40","4","007","BRADFORD","Bradford","FL","1505","21","28","125","194","175","225","291","190","146","103","7","0 to 118","54","941","539","25","1503","2","0","32","1400","34","174","2","83","1421","0","1","1502","40","43","0","0","61","22","0","83","1","4","11","8","13","10","6","7","12","11","0","1 to 107","50","62","17","3","1","6","74","3","13","0","13","0","0","2","83","22","61","83","0","0","2519","2","2607","2521","83","2","215","183","776744615.959412","167178.838252791","62","50","06/29/2020"
"41","41","65","129","WAKULLA","Wakulla","FL","1277","14","30","94","140","171","216","245","218","109","39","1","0 to 102","53","722","545","10","1273","4","0","14","1199","13","202","6","55","1221","0","1","1272","36","17","2","0","31","22","0","53","1","0","10","8","7","13","6","6","3","1","0","3 to 86","45","31","17","3","2","2","49","2","10","0","8","0","0","1","55","22","33","53","2","0","2101","2","2159","2103","55","1","128","53","1579533632.64177","279225.038340218","46","45","06/29/2020"
"42","42","5","009","BREVARD","Brevard","FL","20569","269","379","1342","2115","2272","2867","4512","3993","2113","559","148","0 to 119","57","11621","8840","108","20547","22","0","322","19545","107","1218","99","1716","18850","0","3","20544","1638","62","14","2","859","835","6","1700","24","48","359","360","278","240","211","115","49","32","0","0 to 99","36","970","119","102","509","314","863","523","219","3","108","3","0","17","1716","842","868","1700","16","0","41477","6","43203","41483","1716","17","952","894","2687643838.87906","793218.333609179","42","37","06/29/2020"
"43","43","53","105","POLK","Polk","FL","20886","486","577","1752","2790","2809","2988","3284","3088","1958","814","340","0 to 119","51","11961","8742","183","20790","96","0","501","18613","231","1929","148","3682","17188","1","15","20774","3409","256","16","1","1979","1681","5","3665","58","125","565","690","652","515","433","292","218","133","1","0 to 103","40","1744","507","370","1044","905","1548","1212","685","9","458","5","1","93","3682","1688","1989","3665","17","0","41981","79","45762","42060","3682","93","1637","1067","5206715917.89822","388118.956177661","46","40","06/29/2020"
"44","44","49","097","OSCEOLA","Osceola","FL","14497","190","392","1137","2136","2089","2394","2406","1811","904","327","711","0 to 155","49","8046","6376","75","14416","81","0","692","12639","390","1367","218","1919","12524","2","52","14363","1829","37","51","2","928","935","3","1866","30","55","292","467","292","335","217","125","82","22","2","0 to 102","38","740","136","672","318","940","451","475","361","8","191","7","2","24","1919","971","944","1866","53","0","23507","27","25496","23534","1919","24","1268","756","3899316052.50861","350452.549474464","44","38","06/29/2020"
"45","45","28","055","HIGHLANDS","Highlands","FL","3936","64","63","202","414","362","463","626","729","634","359","20","0 to 119","61","2382","1516","38","3870","66","0","72","3598","47","293","29","345","3584","0","7","3863","303","39","3","0","178","164","0","342","11","12","40","48","48","56","62","33","30","5","0","0 to 91","48","199","58","49","36","113","184","45","68","2","58","1","0","11","345","167","178","342","3","0","8239","63","8653","8302","345","11","406","291","2866885704.30579","296636.719911829","51","48","06/29/2020"
"46","46","36","071","LEE","Lee","FL","28863","352","470","2283","3531","3627","4079","4773","4921","3281","1486","60","0 to 119","55","16523","12128","212","27873","989","1","720","25312","613","3181","179","5363","23481","1","18","27855","5071","175","111","6","2748","2473","25","5246","83","139","805","967","845","821","649","454","328","267","5","0 to 101","43","2766","665","138","1677","1565","1940","1741","986","15","588","13","4","156","5363","2538","2798","5245","117","1","49780","872","56031","50652","5363","156","2714","1107","2112333669.17714","583283.842331616","46","43","06/29/2020"
"47","47","11","021","COLLIER","Collier","FL","17449","384","662","1704","2047","2193","2257","2556","2775","2122","709","40","0 to 105","52","9341","8014","94","17085","364","0","518","14090","356","3071","169","4147","13196","3","103","16979","3757","305","69","16","1988","2067","7","4062","119","221","743","687","711","570","486","291","214","103","2","0 to 101","38","2104","190","340","1428","1946","869","1247","500","20","320","11","6","71","4147","2119","2021","4062","85","0","28899","279","33340","29178","4147","71","3686","2699","5197102107.68439","580181.883282756","40","38","06/29/2020"
"48","48","13","025","DADE","Dade","FL","171809","1886","2856","13718","27713","27467","31206","29146","19644","11098","6398","677","0 to 225","48","89539","81131","1139","170309","1499","1","4214","154212","2785","18278","1009","35222","136336","100","151","170060","33858","833","522","9","17256","17409","26","34691","359","712","3693","6410","5784","6315","5179","3279","1949","1471","71","0 to 108","46","16361","4739","1432","12159","16582","6067","12042","6678","49","3928","31","15","975","35222","17682","17498","34690","531","1","271470","967","307966","272437","35222","975","5218","4478","5114451079.58835","540836.793924443","47","46","06/29/2020"
"49","49","44","087","MONROE","Monroe","FL","3844","30","64","246","475","522","653","836","613","296","108","1","0 to 101","54","2012","1822","10","3759","85","0","1299","2072","83","848","131","236","3568","0","40","3723","201","20","11","4","98","123","0","221","3","9","22","33","38","40","30","30","19","12","0","2 to 100","48","157","9","4","51","62","101","58","41","3","20","2","0","4","236","132","104","221","15","0","5129","65","5430","5194","236","4","697","419","2629619857.16548","1399292.97354894","54","51","06/29/2020"
"50","50","57","113","SANTA ROSA","Santa Rosa","FL","7192","230","269","634","958","1004","1069","1181","1051","547","239","10","0 to 119","49","3948","3217","27","7124","68","0","126","6663","99","391","86","482","6707","1","2","7121","435","40","7","0","199","276","0","475","4","7","118","89","71","76","55","37","15","10","0","0 to 98","38","364","50","13","48","25","379","71","38","0","29","1","0","9","482","278","204","475","7","0","11775","61","12320","11836","482","9","1133","587","2596863920.94926","364280.718031263","41","38","06/29/2020"
"51","51","66","131","WALTON","Walton","FL","1712","53","45","115","180","224","250","299","252","159","132","3","0 to 101","54","947","728","37","1643","69","0","38","1530","15","235","50","213","1498","0","1","1642","161","23","26","3","99","85","0","184","6","12","25","24","40","25","38","23","14","6","0","0 to 101","45","165","12","5","2","49","128","7","33","7","25","2","0","9","213","96","117","184","29","0","3016","40","3274","3056","213","9","158","103","2708101782.46999","370154.781284707","46","46","06/29/2020"
"52","52","32","063","JACKSON","Jackson","FL","3103","32","41","262","531","526","537","482","312","233","141","6","0 to 105","47","1403","1608","92","3080","23","0","18","2626","19","353","31","359","2737","1","6","3073","312","38","8","1","90","260","0","350","3","10","36","86","81","65","54","17","6","1","0","0 to 87","39","155","138","20","37","29","210","111","44","2","27","0","0","2","359","264","95","350","9","0","4760","14","5142","4774","359","2","501","301","2452499072.79567","223828.324060307","40","40","06/29/2020"
"53","53","67","133","WASHINGTON","Washington","FL","930","12","16","60","98","115","147","198","130","99","55","0","0 to 119","55","548","360","22","924","6","0","32","748","9","152","14","112","815","0","3","921","91","19","2","0","58","52","0","110","0","2","6","13","12","13","24","19","16","7","0","9 to 99","58","78","23","1","8","1","100","9","12","0","20","0","0","12","112","52","60","110","2","0","1720","4","1837","1724","112","12","156","98","1594396648.51196","243766.072259733","59","58","06/29/2020"
"54","54","45","089","NASSAU","Nassau","FL","3364","46","54","256","348","393","460","638","609","384","172","4","0 to 103","56","1816","1356","192","3255","109","0","67","3155","28","129","39","175","3180","0","9","3246","145","22","6","2","80","87","0","167","2","2","35","32","35","19","17","21","8","4","0","1 to 89","41","110","22","4","31","4","131","32","35","1","17","0","0","1","175","90","85","167","8","0","6604","101","6882","6705","175","1","229","223","1641620662.32831","388721.737801268","43","41","06/29/2020"
"55","55","22","043","GLADES","Glades","FL","330","4","13","44","69","71","37","32","30","23","6","1","1 to 90","39","139","189","2","330","0","0","29","211","3","152","0","167","163","0","0","330","165","2","0","0","43","124","0","167","1","3","27","49","48","20","12","5","1","1","0","3 to 89","36","126","17","5","19","103","44","20","19","0","14","0","0","1","167","124","43","167","0","0","472","0","639","472","167","1","148","89","2551976411.00452","236757.936928168","37","36","06/29/2020"
"56","56","8","015","CHARLOTTE","Charlotte","FL","5689","64","53","275","479","548","787","1089","1081","751","556","6","0 to 119","60","3337","2283","69","5670","19","0","197","5047","62","660","25","749","4936","1","3","5666","593","153","2","1","428","313","5","746","8","9","50","79","59","93","133","110","96","112","0","0 to 101","61","571","60","17","98","49","573","124","118","1","143","1","0","76","749","315","429","746","3","0","11442","16","12211","11458","749","76","107","88","1825525431.11919","398247.923422686","63","61","06/29/2020"
"57","57","58","115","SARASOTA","Sarasota","FL","13900","166","193","807","1330","1321","1743","2513","2823","2003","960","41","0 to 119","60","7796","5942","162","13649","251","0","537","12734","190","1369","101","1447","12445","1","7","13644","1353","62","26","6","745","668","2","1415","18","27","186","254","193","188","175","157","140","109","0","0 to 104","46","938","78","116","283","189","865","361","243","15","201","11","2","96","1447","688","757","1415","32","0","33836","216","35504","34052","1447","96","632","526","1509311882.53409","264158.506465067","56","47","06/29/2020"
"58","58","14","027","DESOTO","Desoto","FL","2664","70","128","242","371","369","466","498","287","157","70","6","0 to 102","48","1112","1420","132","2654","10","0","63","1968","48","596","12","600","2053","0","11","2643","478","122","0","0","291","308","1","600","25","66","92","120","89","86","69","36","9","8","0","0 to 92","34","452","61","24","63","385","143","72","98","0","60","0","0","10","600","308","291","600","0","0","3932","10","4547","3942","600","10","804","671","1654926851.96404","168390.780925558","35","34","06/29/2020"
"59","59","18","035","FLAGLER","Flagler","FL","4002","44","40","208","394","466","569","790","785","488","212","6","0 to 119","58","2348","1601","53","3964","38","0","120","3707","37","262","44","302","3699","0","1","3963","261","33","8","0","179","114","1","294","1","5","33","45","34","48","62","49","21","4","0","1 to 94","52","178","47","54","15","42","232","20","44","3","29","2","1","5","302","118","183","294","8","0","7710","30","8046","7740","302","5","286","251","1294754947.55994","220559.838719988","56","53","06/29/2020"
"60","60","26","051","HENDRY","Hendry","FL","2729","93","117","355","505","450","388","353","211","143","107","7","0 to 104","41","1347","1372","10","2727","2","0","208","1739","32","914","4","938","1791","0","0","2727","894","44","0","0","389","548","1","938","28","39","139","215","193","138","87","47","32","20","0","0 to 101","37","754","92","30","62","683","210","45","161","0","88","0","0","25","938","548","389","938","0","0","4160","2","5102","4162","938","25","1295","867","3080878042.06929","290231.154940413","37","37","06/29/2020"
"61","61","31","061","INDIAN RIVER","Indian River","FL","5992","71","99","449","573","570","721","951","1110","818","615","15","0 to 119","60","3647","2319","26","5920","72","0","198","5069","77","802","68","686","5280","0","26","5896","660","14","10","2","348","322","4","674","10","37","127","114","99","90","55","62","55","35","2","0 to 99","39","287","42","59","286","126","231","317","107","6","54","3","0","16","686","330","352","674","12","0","13295","58","14040","13353","686","16","1199","710","1319798862.49319","234087.653130679","44","39","06/29/2020"
"62","62","6","011","BROWARD","Broward","FL","103022","1622","2135","7554","15392","15861","17880","18993","12972","6873","3539","201","0 to 119","50","55814","45699","1509","101446","1576","0","2940","89037","2336","14742","1065","15045","87936","13","28","101408","13423","1313","284","25","7431","7297","8","14736","191","448","1970","2917","2559","2489","2200","1190","693","380","8","0 to 102","42","6824","4679","1224","2009","5278","7748","1710","3425","71","1969","58","22","382","15045","7497","7540","14736","309","0","177083","1264","193471","178347","15045","382","8837","8468","3142374056.01305","291881.846057183","45","42","06/29/2020"
"63","63","17","033","ESCAMBIA","Escambia","FL","18518","458","482","1625","2457","2153","2480","3371","2856","1653","946","37","0 to 119","53","11167","7310","41","15667","2851","0","273","17490","183","1095","83","1702","16813","2","1","15664","1360","64","278","0","805","618","1","1424","24","53","323","287","209","190","198","163","162","92","1","0 to 105","41","684","425","47","268","63","972","389","158","1","89","1","3","44","1702","727","974","1424","278","0","27738","2573","32024","30311","1702","44","880","800","1767890300.40206","439974.169549806","48","41","06/29/2020"
"64","64","47","093","OKEECHOBEE","Okeechobee","FL","1838","34","71","263","234","206","230","277","193","180","139","11","0 to 119","49","1072","746","20","1828","10","0","96","1441","2","324","14","360","1478","0","0","1828","327","31","2","0","184","174","0","358","12","34","77","60","59","45","46","16","8","3","0","0 to 93","34","246","31","35","46","189","120","49","30","0","30","2","0","0","360","175","185","358","2","0","3159","8","3527","3167","360","0","478","396","2307690905.70045","272539.677334045","33","34","06/29/2020"
"65","65","19","037","FRANKLIN","Franklin","FL","472","2","4","25","35","35","49","107","128","71","16","0","0 to 95","63","263","206","3","468","4","0","9","457","0","9","7","6","465","0","1","467","4","1","1","0","4","1","0","5","0","0","0","2","0","0","1","2","1","0","0","34 to 75","65","5","0","0","0","0","5","0","0","0","0","0","0","0","6","1","5","5","1","0","813","3","822","816","6","0","19","18","1445840682.56789","446544.245992026","42","65","06/29/2020"
"66","66","1","001","ALACHUA","Alachua","FL","16005","216","218","1938","2966","2307","2274","2597","1924","923","576","66","0 to 119","46","9184","6672","149","15729","276","0","264","15388","61","683","69","1159","14839","6","1","15722","1074","59","15","11","553","579","1","1133","8","17","418","257","121","122","88","82","30","15","1","0 to 103","29","385","218","205","325","212","582","339","163","6","93","5","0","12","1159","593","565","1133","26","0","39423","250","40842","39673","1159","12","140","118","2510756491.26947","272135.471452184","32","29","06/29/2020"
"67","67","55","109","ST. JOHNS","St. Johns","FL","10505","144","254","898","1134","1516","1724","1860","1674","887","398","16","0 to 119","52","5791","4580","134","10469","36","0","331","9540","208","692","149","895","9558","12","40","10418","814","64","14","3","433","443","2","878","9","15","210","150","111","142","131","82","36","9","0","0 to 97","40","488","46","33","311","41","502","335","95","4","59","4","0","7","895","451","442","878","17","0","19452","18","20387","19470","895","7","825","785","1658206648.51031","344848.248220385","48","41","06/29/2020"
"68","999","999","999","Unknown","Unknown","FL","1397","0","4","66","156","181","195","182","138","212","261","2","6 to 119","59","950","439","8","137","1260","0","3","1384","0","10","12","138","1257","1","1","135","13","0","123","2","6","7","0","13","0","3","11","35","25","30","16","7","5","6","0","12 to 82","36","1","2","0","10","2","0","11","0","2","0","0","0","0","138","72","65","13","125","0","1030","1135","2316","2165","138","0","30","28","426757389.663452","73231.2921286601","41","36","06/29/2020"
"1","1","21","041","GILCHRIST","Gilchrist","FL","773","16","16","88","103","110","117","118","99","70","36","0","0 to 118","49","434","328","11","773","0","0","11","674","2","109","2","97","676","0","0","773","77","20","0","0","24","73","0","97","3","4","15","18","19","18","15","3","2","0","0","0 to 83","38","69","10","16","2","26","66","5","5","0","0","0","0","0","97","73","24","97","0","0","2218","0","2318","2218","97","0","164","147","920490830.042053","148547.348006441","39","38","06/30/2020"
"2","2","54","107","PUTNAM","Putnam","FL","3562","75","124","350","511","441","555","601","433","299","162","11","0 to 118","50","2227","1296","39","3554","8","0","92","3226","133","342","22","339","3220","1","2","3551","205","134","0","0","189","149","1","339","7","31","59","52","46","48","42","28","18","8","0","0 to 98","39","162","147","17","13","35","281","23","56","0","36","0","0","6","339","149","189","339","0","0","6129","8","6477","6137","339","6","188","119","2142439482.67719","232574.925675008","40","39","06/30/2020"
"3","3","62","123","TAYLOR","Taylor","FL","917","33","20","84","140","117","114","166","142","74","23","4","0 to 118","50","505","381","31","910","7","0","19","762","3","168","28","79","836","1","1","908","66","12","1","0","29","49","0","78","0","2","16","26","14","3","8","3","7","0","0","6 to 84","32","47","7","18","6","26","46","6","18","0","7","0","0","0","79","49","30","78","1","0","1334","6","1421","1340","79","0","213","111","2685252568.13834","267348.178950349","32","32","06/30/2020"
"4","4","46","091","OKALOOSA","Okaloosa","FL","7312","165","159","603","1094","1051","951","1103","833","738","575","40","0 to 119","51","4409","2863","40","7165","146","1","191","6552","137","505","82","666","6645","0","1","7165","529","123","9","5","328","324","0","652","7","26","101","150","113","86","82","51","33","17","0","0 to 96","39","455","53","61","83","170","396","86","103","3","59","1","0","6","666","332","334","651","14","1","12415","132","13222","12547","666","6","1078","646","2369222670.29688","330553.160278386","43","39","06/30/2020"
"5","5","7","013","CALHOUN","Calhoun","FL","551","5","4","44","53","81","75","93","84","72","39","1","0 to 99","56","331","204","16","551","0","0","6","443","4","60","5","76","474","0","1","550","60","16","0","0","56","20","0","76","0","0","6","8","5","2","4","8","21","21","1","20 to 99","77","54","10","2","10","1","60","15","12","0","8","0","0","6","76","20","56","76","0","0","806","0","884","806","76","6","132","70","1487626835.10838","192207.890331272","78","77","06/30/2020"
"6","6","50","099","PALM BEACH","Palm Beach","FL","73766","1133","1715","5720","9127","8995","10389","12395","10927","7661","4095","1609","0 to 119","54","40255","33219","292","72981","783","2","2834","64972","465","9513","380","14150","59260","188","168","72630","13853","153","138","6","6972","7000","34","14006","238","498","1934","2492","2278","2081","1830","1163","902","722","12","0 to 104","43","5735","2388","2223","3660","4660","5434","3912","2407","37","1776","23","13","510","14150","7087","7029","14004","144","2","129910","636","144928","130546","14150","510","4402","4137","5710098601.29486","464192.459734082","44","43","06/30/2020"
"7","7","56","111","ST. LUCIE","St. Lucie","FL","10987","194","237","800","1365","1382","1709","1892","1721","1102","552","33","0 to 119","53","6317","4463","207","10841","146","0","529","9228","188","1560","76","1724","9169","5","89","10747","1632","81","11","0","919","789","5","1713","38","55","220","305","265","302","232","151","88","66","2","0 to 99","43","606","281","155","671","329","606","778","229","1","163","2","0","47","1724","794","925","1713","11","0","20663","135","22531","20798","1724","47","990","975","1499679486.67142","252832.323289834","46","43","06/30/2020"
"8","8","51","101","PASCO","Pasco","FL","15246","293","371","1303","1927","2106","2396","2611","2267","1362","580","30","0 to 119","51","8798","6395","53","15167","79","0","389","13623","223","1358","128","1992","13211","2","41","15124","1920","58","13","1","1010","964","4","1978","36","54","361","388","346","292","234","180","72","29","0","0 to 99","38","1026","146","204","602","341","943","694","246","4","138","3","1","19","1992","972","1016","1978","14","0","33009","65","35076","33074","1992","19","2190","1638","1975344274.45807","225211.500752162","43","38","06/30/2020"
